sa2_name_2016, yr, sa2_maincode_2016
Bayswater North,2019,211031263
Croydon Hills - Warranwood,2019,211031265
Croydon - West,2019,211031451
Ringwood North,2019,211031268
Croydon - East,2019,211031450
Croydon South,2019,211031452
Forest Hill,2019,211041269
Belgrave - Selby,2019,211051274
Mount Dandenong - Olinda,2019,211051282
Healesville - Yarra Glen,2019,211051276
Vermont,2019,211041272
Lilydale - Coldstream,2019,211051278
Wandin - Seville,2019,211051285
Chirnside Park,2019,211051275
Kilsyth,2019,211051277
Yarra Valley,2019,211051286
Montrose,2019,211051280
Beaconsfield - Officer,2019,212011287
Bunyip - Garfield,2019,212011288
Emerald - Cockatoo,2019,212011289
Mount Evelyn,2019,211051283
Koo Wee Rup,2019,212011290
Upwey - Tecoma,2019,211051284
Berwick - North,2019,212021293
Berwick - South,2019,212021294
Pakenham - North,2019,212011291
Doveton,2019,212021295
Narre Warren North,2019,212021299
Pakenham - South,2019,212011292
Hallam,2019,212021297
Endeavour Hills - North,2019,212021453
Endeavour Hills - South,2019,212021454
Narre Warren - North East,2019,212021455
Narre Warren - South West,2019,212021456
Cranbourne,2019,212031300
Pearcedale - Tooradin,2019,212031308
Cranbourne North,2019,212031302
Cranbourne South,2019,212031303
Cranbourne West,2019,212031304
Hampton Park - Lynbrook,2019,212031305
Lynbrook - Lyndhurst,2019,212031306
Dandenong,2019,212041311
Narre Warren South (East),2019,212031457
Narre Warren South (West),2019,212031458
Clarinda - Oakleigh South,2019,212041309
Dandenong North,2019,212041312
Wheelers Hill,2019,212051327
Clayton South,2019,212041310
Dingley Village,2019,212041313
Keysborough,2019,212041314
Noble Park North,2019,212041316
Springvale,2019,212041317
Noble Park - East,2019,212041459
Springvale South,2019,212041318
Glen Waverley - East,2019,212051321
Noble Park - West,2019,212041460
Ashwood - Chadstone,2019,212051319
Clayton,2019,212051320
Glen Waverley - West,2019,212051322
Mount Waverley - North,2019,212051323
Mount Waverley - South,2019,212051324
Ardeer - Albion,2019,213011328
Altona,2019,213021341
Oakleigh - Huntingdale,2019,212051326
Delahey,2019,213011331
Cairnlea,2019,213011329
Altona Meadows,2019,213021342
Newport,2019,213021344
Deer Park - Derrimut,2019,213011330
Keilor Downs,2019,213011332
Kings Park (Vic.),2019,213011333
St Albans - North,2019,213011334
Williamstown,2019,213021346
