SA2_NAME,SA3_CODE,SA2_CODE
Gladstone Park,21005,210051245
Westmeadows,21005,210051245
Meadow Heights,21005,210051247
Rowville,21101,211011258
Cranbourne East,21203,212031301
Roxburgh Park,21005,210051249
Somerton,21005,210051249
Tullamarine,21005,210051250
Mickleham,21005,210051445
Yuroke,21005,210051445
Central,21005,210051441
Wantirna,21101,211011259
Lysterfield,21101,211011255
Wantirna South,21101,211011260
Warrandyte,21102,211021262
Wonga Park,21102,211021262
Ferntree Gully,21101,211011447
Mitcham,21104,211041270
Nunawading,21104,211041271
Upper Ferntree Gully,21101,211011448
Ringwood,21103,211031266
Ringwood East,21103,211031267
Vermont South,21104,211041273
The Basin,21101,211011449
Bayswater North,21103,211031263
Croydon Hills,21103,211031265
Warranwood,21103,211031265
Croydon,21103,211031451
Ringwood North,21103,211031268
Croydon South,21103,211031452
Forest Hill,21104,211041269
Belgrave,21105,211051274
Selby,21105,211051274
Mount Dandenong,21105,211051282
Olinda,21105,211051282
Healesville,21105,211051276
Yarra Glen,21105,211051276
Vermont,21104,211041272
Lilydale,21105,211051278
Coldstream,21105,211051278
Wandin,21105,211051285
Seville,21105,211051285
Chirnside Park,21105,211051275
Kilsyth,21105,211051277
Yarra Valley,21105,211051286
Montrose,21105,211051280
Beaconsfield,21201,212011287
Officer,21201,212011287
Bunyip,21201,212011288
Garfield,21201,212011288
Emerald,21201,212011289
Cockatoo,21201,212011289
Mount Evelyn,21105,211051283
Koo Wee Rup,21201,212011290
Upwey,21105,211051284
Tecoma,21105,211051284
Berwick,21202,212021293
Pakenham,21201,212011291
Doveton,21202,212021295
Narre Warren North,21202,212021299
Hallam,21202,212021297
Endeavour Hills,21202,212021453
Narre Warren,21202,212021455
North East,21202,212021455
South West,21202,212021456
Cranbourne,21203,212031300
Pearcedale,21203,212031308
Tooradin,21203,212031308
Cranbourne North,21203,212031302
Cranbourne South,21203,212031303
Cranbourne West,21203,212031304
Hampton Park,21203,212031305
Lynbrook,21203,212031305
Lyndhurst,21203,212031306
Dandenong,21204,212041311
Narre Warren South,21203,212031457
Clarinda,21204,212041309
Oakleigh South,21204,212041309
Dandenong North,21204,212041312
Wheelers Hill,21205,212051327
Clayton South,21204,212041310
Dingley Village,21204,212041313
Keysborough,21204,212041314
Noble Park North,21204,212041316
Springvale,21204,212041317
Noble Park,21204,212041459
Springvale South,21204,212041318
Glen Waverley,21205,212051321
Ashwood,21205,212051319
Chadstone,21205,212051319
Clayton,21205,212051320
Mount Waverley,21205,212051323
Ardeer,21301,213011328
Albion,21301,213011328
Altona,21302,213021341
Oakleigh,21205,212051326
Huntingdale,21205,212051326
Delahey,21301,213011331
Cairnlea,21301,213011329
Altona Meadows,21302,213021342
Newport,21302,213021344
Deer Park,21301,213011330
Derrimut,21301,213011330
Keilor Downs,21301,213011332
Kings Park,21301,213011333
St Albans,21301,213011334
Williamstown,21302,213021346
Sunshine,21301,213011336
Sydenham,21301,213011339
Taylors Lakes,21301,213011340
Sunshine North,21301,213011337
Sunshine West,21301,213011338
Melton,21304,213041356
Altona North,21302,213021343
Melton South,21304,213041357
Melton West,21304,213041358
Seabrook,21302,213021345
Rockbank,21304,213041359
Mount Cottrell,21304,213041359
Braybrook,21303,213031347
Footscray,21303,213031348
Bacchus Marsh,21304,213041353
Maribyrnong,21303,213031349
Seddon,21303,213031350
Kingsville,21303,213031350
Hillside,21304,213041355
West Footscray,21303,213031351
Tottenham,21303,213031351
Yarraville,21303,213031352
Burnside,21304,213041461
Taylors Hill,21304,213041360
Tarneit,21305,213051365
Burnside Heights,21304,213041462
Truganina,21305,213051366
Caroline Springs,21304,213041463
Hoppers Crossing,21305,213051361
Werribee,21305,213051368
Wyndham Vale,21305,213051369
Point Cook,21305,213051464
Laverton,21305,213051363
Mount Martha,21402,214021382
Carrum Downs,21401,214011370
Frankston,21401,214011371
Point Nepean,21402,214021383
Frankston North,21401,214011372
Langwarrin,21401,214011374
Flinders,21402,214021378
Frankston South,21401,214011373
