STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"22180","Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",144.951411,"1",-37.817936,"Southern Cross Railway Station (Melbourne City)",209
"19996","Williamstown,Werribee",144.889934,"1",-37.81585,"Yarraville Railway Station (Yarraville)",169
"19841","Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Alamein",144.955654,"1",-37.811981,"Flagstaff Railway Station (Melbourne City)",17
"19842","Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Alamein",144.962594,"1",-37.809939,"Melbourne Central Railway Station (Melbourne City)",18
"19997","Williamstown,Werribee",144.895672,"1",-37.809005,"Seddon Railway Station (Seddon)",170
"19973","Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",144.94257,"1",-37.807419,"North Melbourne Railway Station (West Melbourne)",149
"20024","Sunbury",144.891472,"1",-37.802505,"Middle Footscray Railway Station (Footscray)",193
"20023","Sunbury",144.883985,"1",-37.801803,"West Footscray Railway Station (West Footscray)",192
"20025","Werribee,Williamstown,Sunbury",144.903199,"1",-37.801083,"Footscray Railway Station (Footscray)",194
"20026","Williamstown,Werribee",144.925469,"1",-37.799531,"South Kensington Railway Station (Kensington)",195
"20022","Sunbury",144.862945,"1",-37.799251,"Tottenham Railway Station (West Footscray)",191
"19972","Upfield",144.936166,"1",-37.794267,"Macaulay Railway Station (North Melbourne)",148
"20041","Craigieburn",144.930524,"1",-37.79378,"Kensington Railway Station (Kensington)",207
"20021","Sunbury",144.832878,"1,2",-37.788536,"Sunshine Railway Station (Sunshine)",190
"19971","Upfield",144.939323,"1",-37.78814,"Flemington Bridge Railway Station (North Melbourne)",147
"20040","Craigieburn",144.928978,"1",-37.787328,"Newmarket Railway Station (Flemington)",206
"19970","Upfield",144.952301,"1",-37.781193,"Royal Park Railway Station (Parkville)",146
"20004","Sunbury",144.824704,"1,2",-37.777653,"Albion Railway Station (Sunshine North)",175
"20039","Craigieburn",144.921821,"1",-37.775306,"Ascot Vale Railway Station (Ascot Vale)",205
"19969","Upfield",144.958717,"1",-37.774987,"Jewell Railway Station (Brunswick)",145
"20016","Mernda",144.995277,"1",-37.769865,"Northcote Railway Station (Northcote)",187
"19968","Upfield",144.959587,"1",-37.767721,"Brunswick Railway Station (Brunswick)",144
"19844","Belgrave",145.355291,"2",-37.909102,"Belgrave Railway Station (Belgrave)",20
"19845","Belgrave",145.342995,"2",-37.908118,"Tecoma Railway Station (Tecoma)",21
"19952","Sandringham",145.002605,"1,2",-37.904887,"North Brighton Railway Station (Brighton)",128
"19846","Belgrave",145.331333,"2",-37.903691,"Upwey Railway Station (Upwey)",22
"19941","Frankston",145.039613,"1,2",-37.903212,"Ormond Railway Station (Ormond)",117
"19917","Pakenham,Cranbourne",145.088308,"1,2",-37.900372,"Oakleigh Railway Station (Oakleigh)",93
"19953","Sandringham",145.004168,"1",-37.896695,"Gardenvale Railway Station (Brighton)",129
"19918","Pakenham,Cranbourne",145.077635,"1,2",-37.894881,"Hughesdale Railway Station (Hughesdale)",94
"19867","Belgrave",145.30753,"2",-37.892672,"Upper Ferntree Gully Railway Station (Upper Ferntree Gully)",43
"19919","Pakenham,Cranbourne",145.067375,"1",-37.890198,"Murrumbeena Railway Station (Murrumbeena)",95
"19942","Frankston",145.042223,"1",-37.889719,"Glenhuntly Railway Station (Glen Huntly)",118
"19920","Pakenham,Cranbourne",145.058575,"1",-37.886241,"Carnegie Railway Station (Carnegie)",96
