,STOP_ID, STOP_NAME,SA3_NAME
764,18430,50-Inkerman Rd/Hawthorn Rd (Caulfield North),Caulfield North
765,19017,50-Inkerman Rd/Hawthorn Rd (Caulfield North),Caulfield North
766,19083,64-Mernda Ave/Glenhuntly Rd (Carnegie),Carnegie
767,18407,64-Mernda Ave/Glenhuntly Rd (Carnegie),Carnegie
768,18647,53-Caulfield Park/Balaclava Rd (Caulfield North),Caulfield North
769,18462,53-Caulfield Park/Balaclava Rd (Caulfield North),Caulfield North
770,19084,65-Mimosa Rd/Glenhuntly Rd (Carnegie),Carnegie
771,18410,67-Centre Rd/Truganini Rd (Carnegie),Carnegie
772,18408,65-Mimosa Rd/Glenhuntly Rd (Carnegie),Carnegie
773,18411,68-Carnegie/Truganini Rd (Carnegie),Carnegie
774,19086,67-Centre Rd/Truganini Rd (Carnegie),Carnegie
775,18409,66-Glenhuntly Rd/Truganini Rd (Carnegie),Carnegie
776,19085,66-Truganini Rd/Glenhuntly Rd (Carnegie),Carnegie
777,18648,54-Kambrook Rd/Balaclava Rd (Caulfield North),Caulfield North
778,18461,54-Kambrook Rd/Balaclava Rd (Caulfield East),Caulfield East
779,18649,55-Normanby Rd/Balaclava Rd (Caulfield North),Caulfield North
780,18460,55-Balaclava Rd/Normanby Rd (Caulfield East),Caulfield East
781,18459,56-Caulfield Racecourse/Normanby Rd (Caulfield East),Caulfield East
782,18650,56-Caulfield Racecourse/Normanby Rd (Caulfield North),Caulfield North
783,18651,57-Caulfield Railway Station/Derby Rd (Caulfield East),Caulfield East
784,18457,57-Caulfield Railway Station/Derby Rd (Caulfield East),Caulfield East
785,18652,58-Dandenong Rd/Derby Rd (Caulfield North),Caulfield North
786,18653,59-Dandenong Rd/Waverley Rd (Malvern East),Malvern East
787,18456,59-Dandenong Rd/Waverley Rd (Caulfield East),Caulfield East
788,18654,60-Burke Rd/Waverley Rd (Malvern East),Malvern East
789,18455,60-Burke Rd/Waverley Rd (Malvern East),Malvern East
790,18655,61-Tennyson St/Waverley Rd (Malvern East),Malvern East
791,18454,61-Tennyson St/Waverley Rd (Malvern East),Malvern East
792,18656,62-The Avenue/Waverley Rd (Malvern East),Malvern East
793,18453,62-Macgregor St/Waverley Rd (Malvern East),Malvern East
794,18657,63-Oak Gr/Waverley Rd (Malvern East),Malvern East
795,18452,63-Hughes St/Waverley Rd (Malvern East),Malvern East
796,18451,64-Darling Rd/Waverley Rd (Malvern East),Malvern East
797,18971,68-Mont Albert Rd/Burke Rd (Kew),Kew
798,19038,68-Mont Albert Rd/Burke Rd (Camberwell),Camberwell
799,19752,40-St George's Hospital/Cotham Rd (Kew),Kew
800,19402,40-St George's Hospital/Cotham Rd (Kew),Kew
801,18972,69-Sackville St/Burke Rd (Kew),Kew
802,19037,69-Peverill St/Burke Rd (Balwyn),Balwyn
803,18351,38-Victoria Park/High St (Kew),Kew
804,18579,38-Victoria Park/High St (Kew East),Kew East
805,19403,41-Kew Traffic School/Cotham Rd (Kew),Kew
806,19753,41-Kew Traffic School/Cotham Rd (Kew),Kew
807,19036,70-Cotham Rd/Burke Rd (Kew),Kew
808,19404,42-Burke Rd/Cotham Rd (Kew),Kew
809,19778,42-Burke Rd/Whitehorse Rd (Balwyn),Balwyn
810,18578,39-Harp Rd/High St (Kew East),Kew East
811,18352,39-Harp Rd/High St (Kew),Kew
812,19405,43-Deepdene Shopping Centre/Whitehorse Rd (Balwyn),Balwyn
813,18710,43-Deepdene Shopping Centre/Whitehorse Rd (Balwyn),Balwyn
814,18353,40-Harp Village/High St (Kew East),Kew East
815,18577,40-Harp Village/High St (Kew East),Kew East
816,18732,44-Deepdene Park/Whitehorse Rd (Balwyn),Balwyn
817,19406,44-Deepdene Park/Whitehorse Rd (Balwyn),Balwyn
818,18576,41-Station St/High St (Kew East),Kew East
819,18354,41-Clyde St/High St (Kew East),Kew East
820,19407,45-Hardwicke St/Whitehorse Rd (Balwyn),Balwyn
821,18733,45-Hardwicke St/Whitehorse Rd (Balwyn),Balwyn
822,18355,42-Irymple Ave/High St (Kew East),Kew East
823,18575,42-Woodlands Ave/High St (Kew East),Kew East
